PARADA,NOMBRE,COMENTARIO,TIPO,ZONA,LATITUD,LONGITUD,MUNICIPIO,CODIGO_BARRIO,ID_LINEA,SENTIDO,FECHA
1,AVDA.VALDEMARIN-ALTAIR,,EXTERIOR,A,40.47194497176612,-3.781636670257481,MADRID,73,161,IDA,20240117
2,AV.VALDEMARÍN-LA SALLE,,EXTERIOR,B1,40.47041008888121,-3.784792078179807,MADRID,73,161,IDA,20240117
3,BLANCA DE CASTILLA-Cº DE LA ZARZUELA,Blanca de Castilla-Cº Zarzuela,EXTERIOR,A,40.46672266258711,-3.7825433670293296,MADRID,73,161,IDA,20240117
4,PLEYADES-ANA TERESA,,EXTERIOR,A,40.46319844628273,-3.782797341964848,MADRID,68,161,IDA,20240117
5,PLEYADES-AV.OSA MAYOR,,EXTERIOR,B1,40.461223964520286,-3.7830221097943504,MADRID,68,161,IDA,20240117
6,BLANCA DE CASTILLA-Cº DE LA ZARZUELA,Blanca de Castilla con Cºde la Zarzuela,EXTERIOR,A,40.46679688409109,-3.782225745445363,MADRID,73,161,VUELTA,20240117
7,AV.VALDEMARIN-LA SALLE,,EXTERIOR,B1,40.47023208643704,-3.784471506693144,MADRID,73,161,VUELTA,20240117
8,AV.VALDEMARIN-BLANCA DE CASTILLA,,EXTERIOR,B1,40.47163502573852,-3.780842709758948,MADRID,73,161,VUELTA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,521,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,1,VUELTA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,518,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,519,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,516,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,361,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,520,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,146,VUELTA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,46,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,2,IDA,20240117
9,GRAN VIA-MESONERO ROMANOS,,EXTERIOR,A,40.42219754607262,-3.70304828515006,MADRID,25,74,VUELTA,20240117
11,AVDA DE BURGOS-BUGANVILLA,,EXTERIOR,A,40.47325067591403,-3.6744658913444113,MADRID,26,14,IDA,20240117
13,GUECHO-GOBELAS,,EXTERIOR,A,40.472848195630654,-3.81648285839034,MADRID,72,162,IDA,20240117
14,GUECHO-GOBELAS,,EXTERIOR,A,40.47289398627715,-3.816377242563959,MADRID,72,162,IDA,20240117
16,AVDA.VICTORIA-PADRE HUIDOBRO,,EXTERIOR,A,40.468663954101736,-3.811949707980987,MADRID,72,163,VUELTA,20240117
16,AVDA.VICTORIA-PADRE HUIDOBRO,,EXTERIOR,A,40.468663954101736,-3.811949707980987,MADRID,72,162,IDA,20240117
17,RAFAEL BOTÍ-ARCHANDA,,EXTERIOR,B1,40.46606636650948,-3.807235600439354,MADRID,72,163,VUELTA,20240117
18,AVDA.VICTORIA-PADRE HUIDOBRO,,EXTERIOR,A,40.46892403071488,-3.812117984691534,MADRID,72,162,VUELTA,20240117
18,AVDA.VICTORIA-PADRE HUIDOBRO,,EXTERIOR,A,40.46892403071488,-3.812117984691534,MADRID,72,163,IDA,20240117
19,ACCESO CTRA. DE LA CORUÑA,,EXTERIOR,A,40.470867156087415,-3.8176267037334752,MADRID,72,162,VUELTA,20240117
20,GOBELAS-GUECHO,,EXTERIOR,A,40.47239953782614,-3.8162296946285417,MADRID,72,162,VUELTA,20240117
21,MOTRICO-LEQUEITIO,,EXTERIOR,A,40.47106971353728,-3.811896109361552,MADRID,72,162,VUELTA,20240117
22,AMOREBIETA-AV.NTRA.SRA.DE BEGOÑA,,EXTERIOR,A,40.47075692293436,-3.8089668476065626,MADRID,72,162,VUELTA,20240117
23,ESCUELA UNIVERSITARIA DE ESTADISTICA,Av. Puerta de Hierro (Estadística),EXTERIOR,A,40.45017919413294,-3.734968070789948,MADRID,71,162,VUELTA,20240117
23,ESCUELA UNIVERSITARIA DE ESTADISTICA,Av. Puerta de Hierro (Estadística),EXTERIOR,A,40.45017919413294,-3.734968070789948,MADRID,71,133,VUELTA,20240117
23,ESCUELA UNIVERSITARIA DE ESTADISTICA,Av. Puerta de Hierro (Estadística),EXTERIOR,A,40.45017919413294,-3.734968070789948,MADRID,71,83,VUELTA,20240117
24,GTA.MAR DE CRISTAL-AYACUCHO,Gta. Mar de Cristal S/N con C/ Ayacucho,EXTERIOR,A,40.47129523077464,-3.636426180283173,MADRID,58,112,IDA,20240117
24,GTA.MAR DE CRISTAL-AYACUCHO,Gta. Mar de Cristal S/N con C/ Ayacucho,EXTERIOR,A,40.47129523077464,-3.636426180283173,MADRID,58,112,VUELTA,20240117
24,GTA.MAR DE CRISTAL-AYACUCHO,Gta. Mar de Cristal S/N con C/ Ayacucho,EXTERIOR,A,40.47129523077464,-3.636426180283173,MADRID,58,125,IDA,20240117
24,GTA.MAR DE CRISTAL-AYACUCHO,Gta. Mar de Cristal S/N con C/ Ayacucho,EXTERIOR,A,40.47129523077464,-3.636426180283173,MADRID,58,125,VUELTA,20240117
28,PASEO DE LA CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46688918282988,-3.688415573189505,MADRID,26,5,VUELTA,20240117
28,PASEO DE LA CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46688918282988,-3.688415573189505,MADRID,26,27,VUELTA,20240117
28,PASEO DE LA CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46688918282988,-3.688415573189505,MADRID,26,147,VUELTA,20240117
28,PASEO DE LA CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46688918282988,-3.688415573189505,MADRID,26,522,VUELTA,20240117
28,PASEO DE LA CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46688918282988,-3.688415573189505,MADRID,26,524,VUELTA,20240117
29,Pº CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46698221651128,-3.687921101998116,MADRID,26,522,IDA,20240117
29,Pº CASTELLANA-JUZGADOS,,EXTERIOR,A,40.46698221651128,-3.687921101998116,MADRID,26,524,IDA,20240117
